Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites, Report type, Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On, Diferença dos tempos a partir do IGN, Diferença de tempos a partir do IGF, Time fix,Motivo Reboot
01/04/2025,16:37:45,,,,0x07a1,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motivo desconhecido
01/04/2025,16:38:15,,,,0x07a5,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motivo desconhecido
01/04/2025,16:38:15,01/04/2025,16:37:59,8674886293973.0,0x07a2,GTDIS,0x00fe7fbf,802003.0,0x0902,0x0915,100.0,11535.0,0.0,0000,1.0,0.0,22.0,0.0,-,-,0.0,0.0,0.0,0x0000,0.0,0.0,0.0,724.0,6.0,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-,,Motivo desconhecido
01/04/2025,16:38:15,01/04/2025,16:38:14,8674886293973.0,0x07a3,GTDIS,0x00fe7fbf,802003.0,0x0902,0x0915,100.0,11477.0,0.0,0000,1.0,0.0,22.0,0.0,-,-,0.0,0.0,0.0,0x0000,0.0,0.0,0.0,724.0,6.0,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-,,Motivo desconhecido
01/04/2025,16:38:15,01/04/2025,16:38:16,8674886293973.0,0x07a4,GTIGF,0x00fe7fbf,802003.0,0x0902,0x0915,100.0,11477.0,0.0,0000,0.0,0.0,12.0,0.0,-,6155,0.0,0.0,0.0,0x0000,0.0,0.0,0.0,724.0,6.0,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None,Motivo desconhecido
01/04/2025,16:38:17,01/04/2025,16:38:19,8674886293973.0,0x07a6,GTDIS,0x00fe7fbf,802003.0,0x0902,0x0915,100.0,11477.0,0.0,0000,0.0,0.0,12.0,0.0,-,-,0.0,0.0,0.0,0x0000,0.0,0.0,0.0,724.0,6.0,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-,,Motivo desconhecido
01/04/2025,16:38:18,01/04/2025,16:38:19,8674886293973.0,0x07a7,GTIGL,0x00fe7fbf,802003.0,0x0902,0x0915,100.0,11477.0,0.0,0000,0.0,0.0,12.0,0.0,-,-,0.0,0.0,0.0,0x0000,0.0,0.0,0.0,724.0,6.0,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-,,Motivo desconhecido
01/04/2025,16:38:29,01/04/2025,16:38:30,8674886293973.0,0x07a8,GTIGN,0x00fe7fbf,802003.0,0x0902,0x0915,100.0,11530.0,0.0,0000,1.0,0.0,22.0,0.0,-,15,0.0,0.0,0.0,0x0000,0.0,0.0,0.0,724.0,6.0,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-, None,Motivo desconhecido
01/04/2025,16:38:32,01/04/2025,16:38:34,8674886293973.0,0x07a9,GTIGL,0x00fe7fbf,802003.0,0x0902,0x0915,100.0,11464.0,0.0,0000,1.0,0.0,22.0,0.0,-,-,0.0,0.0,0.0,0x0000,0.0,0.0,0.0,724.0,6.0,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-,,Motivo desconhecido
01/04/2025,16:38:37,01/04/2025,16:38:39,8674886293973.0,0x07aa,GTDIS,0x00fe7fbf,802003.0,0x0902,0x0915,100.0,11464.0,0.0,0000,5.0,0.0,22.0,0.0,-,-,0.0,0.0,0.0,0x0000,0.0,0.0,0.0,724.0,6.0,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-,-,-,,Motivo desconhecido
